sound_code,слово,sound,sound_trigger,метка_seq1,название категории,,pic_name,№_pic,pic,№_old,pic_code,pic_file,pic_trigger,quest1_a,quest1_a_sound_id,quest1_a_sound,quest1_a_trigger,ans,quest1_b,quest1_b_sound_id,quest1_b_sound,quest1_b_sound_trigger,quest2_b,quest2_b_sound_id,quest2_b_sound,ans,quest2_b_sound_trigger,ac_row,Дистракторы,dis_for_EE,dis_for_FM,Экспл_реал,FM_цель,FM_Экспл_реал,,Тропики,Огород,Тропики_короткие,Ogorod_short,,,,,,,Новые_понятия,,Известные_понятия,,,
1202,Lemon,sound\\Lemon.wav,101,10,импл_реал_с_названием,импл_,Limon,_7,Limon_7,,2039,pics\\Limon_7.jpg,204,,199,sound\\Uprugiy_li.wav,801,да,,0,0,0,,0,0,0,0,2046,pics\\Peper_6.jpg,0,pics\\Peper_6.jpg,,sound\\Tropic,pics\\Kokos_7.jpg,pics\\Kokos,pics\\Kokos_7.jpg,,pics\\Finik_7.jpg,pics\\Peper_7.jpg,0.34904323,pics\\Finik_6.jpg,pics\\Peper_6.jpg,,pics\\Peper_6.jpg,0.408530415,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1202,Lemon,sound\\Lemon.wav,101,10,импл_реал_с_названием,импл_,Limon,_8,Limon_8,,2040,pics\\Limon_8.jpg,204,,200,sound\\Bez_kozhuri_li.wav,801,нет,,0,0,0,,0,0,0,0,2042,pics\\Peper_2.jpg,0,pics\\Peper_2.jpg,,sound\\Tropic,pics\\Kokos_8.jpg,pics\\Kokos,pics\\Kokos_8.jpg,,pics\\Finik_8.jpg,pics\\Peper_8.jpg,0.474539366,pics\\Finik_2.jpg,pics\\Peper_2.jpg,,pics\\Peper_2.jpg,0.968510582,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_1,Kokos_1,,2025,pics\\Kokos_1.jpg,203,,0,0,0,0,,289,sound\\Na_ecrane.wav,801,,57,sound\\On_s_molokom.wav,да,804,2226,pics\\dis11.jpg,pics\\dis11.jpg,,pics\\Kokos_1.jpg,0,pics\\Peper_1.jpg,pics\\Peper,,pics\\Peper_1.jpg,pics\\Injir_1.jpg,pics\\Tikva_1.jpg,0.51152241,pics\\Finik_1.jpg,pics\\Peper_1.jpg,,,0.649095776,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_2,Kokos_2,,2026,pics\\Kokos_2.jpg,203,,0,0,0,0,,290,sound\\Posmotrite_vot.wav,801,,58,sound\\Polii_li_on.wav,да,804,2181,pics\\dis24.jpg,pics\\dis24.jpg,,pics\\Kokos_2.jpg,0,pics\\Peper_2.jpg,pics\\Peper,,pics\\Peper_2.jpg,pics\\Injir_2.jpg,pics\\Tikva_2.jpg,0.022314838,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,,,0.618348227,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_3,Kokos_3,,2027,pics\\Kokos_3.jpg,203,,0,0,0,0,,291,sound\\Vot.wav,801,,59,sound\\Gladkiy_li_on.wav,нет,804,2224,pics\\dis29.jpg,pics\\dis29.jpg,,pics\\Kokos_3.jpg,0,pics\\Peper_3.jpg,pics\\Peper,,pics\\Peper_3.jpg,pics\\Injir_3.jpg,pics\\Tikva_3.jpg,0.515785942,pics\\Kokos_8.jpg,pics\\Tomat_8.jpg,,,0.813802472,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_4,Kokos_4,,2028,pics\\Kokos_4.jpg,203,,0,0,0,0,,292,sound\\Eto.wav,801,,60,sound\\Poristiy_li_on.wav,нет,804,2209,pics\\dis51.jpg,pics\\dis51.jpg,,pics\\Kokos_4.jpg,0,pics\\Peper_4.jpg,pics\\Peper,,pics\\Peper_4.jpg,pics\\Injir_4.jpg,pics\\Tikva_4.jpg,0.60187539,pics\\Kokos_6.jpg,pics\\Tomat_6.jpg,,,0.23659491,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_5,Kokos_5,,2029,pics\\Kokos_5.jpg,203,,0,0,0,0,,293,sound\\Na_kartinke.wav,801,,61,sound\\On_vareniy.wav,нет,804,2221,pics\\dis28.jpg,pics\\dis28.jpg,,pics\\Kokos_5.jpg,0,pics\\Peper_5.jpg,pics\\Peper,,pics\\Peper_5.jpg,pics\\Injir_5.jpg,pics\\Tikva_5.jpg,0.144103936,pics\\Injir_4.jpg,pics\\Tikva_4.jpg,,,0.245837696,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_6,Kokos_6,,2030,pics\\Kokos_6.jpg,203,,0,0,0,0,,294,sound\\Na_monitore.wav,801,,62,sound\\Plotniy_li_on.wav,да,804,2202,pics\\dis47.jpg,pics\\dis47.jpg,,pics\\Kokos_6.jpg,0,pics\\Peper_6.jpg,pics\\Peper,,pics\\Peper_6.jpg,pics\\Injir_6.jpg,pics\\Tikva_6.jpg,0.192652743,pics\\Injir_3.jpg,pics\\Tikva_3.jpg,,,0.331930213,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_7,Kokos_7,,2031,pics\\Kokos_7.jpg,203,,0,0,0,0,,295,sound\\Pered_vami.wav,801,,63,sound\\On_vorsistyi.wav,да,804,2230,pics\\dis8.jpg,pics\\dis8.jpg,,pics\\Kokos_7.jpg,0,pics\\Peper_7.jpg,pics\\Peper,,pics\\Peper_7.jpg,pics\\Injir_7.jpg,pics\\Tikva_7.jpg,0.619981949,pics\\Kokos_4.jpg,pics\\Tomat_4.jpg,,,0.291247165,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,11,экспл_реал_с_названием,экспл,Kokos,_8,Kokos_8,,2032,pics\\Kokos_8.jpg,203,,0,0,0,0,,296,sound\\Vi_vidite.wav,801,,64,sound\\On_myagkiy.wav,нет,804,2214,pics\\dis63.jpg,pics\\dis63.jpg,,pics\\Kokos_8.jpg,0,pics\\Peper_8.jpg,pics\\Peper,,pics\\Peper_8.jpg,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,0.193229939,pics\\Injir_2.jpg,pics\\Tikva_2.jpg,,,0.79579681,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_1,Redis_1,,2049,pics\\Redis_1.jpg,206,,209,sound\\S_botvoy_li.wav,801,да,,0,0,0,,0,0,0,0,2011,pics\\Finik_3.jpg,0,pics\\Finik_3.jpg,,sound\\Ogorod,pics\\Finik_1.jpg,pics\\Finik,pics\\Finik_1.jpg,,,,,,,pics\\Finik_3.jpg,,0.779901004,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_2,Redis_2,,2050,pics\\Redis_2.jpg,206,,210,sound\\Alyi_li.wav,801,да,,0,0,0,,0,0,0,0,2153,pics\\Injir_1.jpg,0,pics\\Injir_1.jpg,,sound\\Ogorod,pics\\Finik_2.jpg,pics\\Finik,pics\\Finik_2.jpg,,,,,,,pics\\Injir_1.jpg,,0.794313418,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_3,Redis_3,,2051,pics\\Redis_3.jpg,206,,211,sound\\Pryaniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2158,pics\\Injir_6.jpg,0,pics\\Injir_6.jpg,,sound\\Ogorod,pics\\Finik_3.jpg,pics\\Finik,pics\\Finik_3.jpg,,,,,,,pics\\Injir_6.jpg,,0.810112887,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_4,Redis_4,,2052,pics\\Redis_4.jpg,206,,212,sound\\Zhirniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2025,pics\\Kokos_1.jpg,0,pics\\Kokos_1.jpg,,sound\\Ogorod,pics\\Finik_4.jpg,pics\\Finik,pics\\Finik_4.jpg,,,,,,,pics\\Kokos_1.jpg,,0.734030122,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_5,Redis_5,,2053,pics\\Redis_5.jpg,206,,213,sound\\Solenniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2027,pics\\Kokos_3.jpg,0,pics\\Kokos_3.jpg,,sound\\Ogorod,pics\\Finik_5.jpg,pics\\Finik,pics\\Finik_5.jpg,,,,,,,pics\\Kokos_3.jpg,,0.226618207,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_6,Redis_6,,2054,pics\\Redis_6.jpg,206,,214,sound\\Pishniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2015,pics\\Finik_7.jpg,0,pics\\Finik_7.jpg,,sound\\Ogorod,pics\\Finik_6.jpg,pics\\Finik,pics\\Finik_6.jpg,,,,,,,pics\\Finik_7.jpg,,0.169786649,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_7,Redis_7,,2055,pics\\Redis_7.jpg,206,,215,sound\\Krepkiy_li.wav,801,да,,0,0,0,,0,0,0,0,2026,pics\\Kokos_2.jpg,0,pics\\Kokos_2.jpg,,sound\\Ogorod,pics\\Finik_7.jpg,pics\\Finik,pics\\Finik_7.jpg,,,,,,,pics\\Kokos_2.jpg,,0.500675702,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Radish,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Redis,_8,Redis_8,,2056,pics\\Redis_8.jpg,206,,216,sound\\Krugliy_li.wav,801,да,,0,0,0,,0,0,0,0,2157,pics\\Injir_5.jpg,0,pics\\Injir_5.jpg,,sound\\Ogorod,pics\\Finik_8.jpg,pics\\Finik,pics\\Finik_8.jpg,,,,,,,pics\\Injir_5.jpg,,0.224715972,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_1,Peper_1,,2041,pics\\Peper_1.jpg,205,,0,0,0,0,,289,sound\\Na_ecrane.wav,801,,73,sound\\Siroy_li_on.wav,да,804,2228,pics\\dis38.jpg,pics\\dis38.jpg,,pics\\Peper_1.jpg,0,pics\\Injir_1.jpg,pics\\Injir,pics\\Injir_1.jpg,,,,,,,,,0.829159902,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_2,Peper_2,,2042,pics\\Peper_2.jpg,205,,0,0,0,0,,290,sound\\Posmotrite_vot.wav,801,,74,sound\\Chierniy_li_on.wav,нет,804,2189,pics\\dis33.jpg,pics\\dis33.jpg,,pics\\Peper_2.jpg,0,pics\\Injir_2.jpg,pics\\Injir,pics\\Injir_2.jpg,,,,,,,,,0.243281041,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_3,Peper_3,,2043,pics\\Peper_3.jpg,205,,0,0,0,0,,291,sound\\Vot.wav,801,,75,sound\\On_gniloy.wav,нет,804,2173,pics\\dis37.jpg,pics\\dis37.jpg,,pics\\Peper_3.jpg,0,pics\\Injir_3.jpg,pics\\Injir,pics\\Injir_3.jpg,,,,,,,,,0.285463918,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_4,Peper_4,,2044,pics\\Peper_4.jpg,205,,0,0,0,0,,292,sound\\Eto.wav,801,,76,sound\\On_bugristiy.wav,да,804,2211,pics\\dis60.jpg,pics\\dis60.jpg,,pics\\Peper_4.jpg,0,pics\\Injir_4.jpg,pics\\Injir,pics\\Injir_4.jpg,,,,,,,,,0.570559581,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_5,Peper_5,,2045,pics\\Peper_5.jpg,205,,0,0,0,0,,293,sound\\Na_kartinke.wav,801,,77,sound\\On_sloeniy.wav,нет,804,2229,pics\\dis10.jpg,pics\\dis10.jpg,,pics\\Peper_5.jpg,0,pics\\Injir_5.jpg,pics\\Injir,pics\\Injir_5.jpg,,,,,,,,,0.616694875,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_6,Peper_6,,2046,pics\\Peper_6.jpg,205,,0,0,0,0,,294,sound\\Na_monitore.wav,801,,78,sound\\Hrustyashiy_li_on.wav,да,804,2179,pics\\dis20.jpg,pics\\dis20.jpg,,pics\\Peper_6.jpg,0,pics\\Injir_6.jpg,pics\\Injir,pics\\Injir_6.jpg,,,,,,,,,0.739449585,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_7,Peper_7,,2047,pics\\Peper_7.jpg,205,,0,0,0,0,,295,sound\\Pered_vami.wav,801,,79,sound\\Blestit_li_on.wav,да,804,2210,pics\\dis48.jpg,pics\\dis48.jpg,,pics\\Peper_7.jpg,0,pics\\Injir_7.jpg,pics\\Injir,pics\\Injir_7.jpg,,,,,,,,,0.216783243,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Pepper,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Peper,_8,Peper_8,,2048,pics\\Peper_8.jpg,205,,0,0,0,0,,296,sound\\Vi_vidite.wav,801,,80,sound\\On_citrusoviy.wav,нет,804,2182,pics\\dis30.jpg,pics\\dis30.jpg,,pics\\Peper_8.jpg,0,pics\\Injir_8.jpg,pics\\Injir,pics\\Injir_8.jpg,,,,,,,,,0.118762831,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
1206,Banan,sound\\Banan.wav,105,10,импл_реал_с_названием,импл_,Banan,_1,Banan_1,,2001,pics\\Banan_1.jpg,200,,161,sound\\Chistiy_li.wav,801,да,,0,0,0,,0,0,0,0,2041,pics\\Peper_1.jpg,0,pics\\Peper_1.jpg,,sound\\Tropic,pics\\Tikva_1.jpg,pics\\Tikva,,pics\\Tikva_1.jpg,,,,,,,pics\\Peper_1.jpg,0.755854972,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1206,Banan,sound\\Banan.wav,105,10,импл_реал_с_названием,импл_,Banan,_2,Banan_2,,2002,pics\\Banan_2.jpg,200,,162,sound\\Svizhiy_li.wav,801,да,,0,0,0,,0,0,0,0,2168,pics\\Tikva_8.jpg,0,pics\\Tikva_8.jpg,,sound\\Tropic,pics\\Tikva_2.jpg,pics\\Tikva,,pics\\Tikva_2.jpg,,,,,,,pics\\Tikva_8.jpg,0.611642098,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1206,Banan,sound\\Banan.wav,105,10,импл_реал_с_названием,импл_,Banan,_3,Banan_3,,2003,pics\\Banan_3.jpg,200,,163,sound\\Zharenniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2064,pics\\Tomat_8.jpg,0,pics\\Tomat_8.jpg,,sound\\Tropic,pics\\Tikva_3.jpg,pics\\Tikva,,pics\\Tikva_3.jpg,,,,,,,pics\\Tomat_8.jpg,0.734837482,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
